_id,source,category,collected_at,data.country,data.year,data.value,data.indicator
698a286ec460a8f52919f96d,who,health,2026-02-09 18:33:18.187,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a286ec460a8f52919f96e,who,health,2026-02-09 18:33:18.188,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a286ec460a8f52919f96f,who,health,2026-02-09 18:33:18.188,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a286ec460a8f52919f970,who,health,2026-02-09 18:33:18.188,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a2ec1615d1b093643268a,who,health,2026-02-09 19:00:17.661,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a2ec1615d1b093643268b,who,health,2026-02-09 19:00:17.662,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a2ec1615d1b093643268c,who,health,2026-02-09 19:00:17.662,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a2ec1615d1b093643268d,who,health,2026-02-09 19:00:17.662,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a2ec1615d1b093643268e,who,health,2026-02-09 19:00:17.662,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a3576965a6a7ada10290d,who,health,2026-02-09 19:28:54.634,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a3576965a6a7ada10290e,who,health,2026-02-09 19:28:54.636,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a3576965a6a7ada10290f,who,health,2026-02-09 19:28:54.637,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a3576965a6a7ada102910,who,health,2026-02-09 19:28:54.637,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a3576965a6a7ada102911,who,health,2026-02-09 19:28:54.638,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a36a58ed7da4dc73f3f7d,who,health,2026-02-09 19:33:57.794,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a36a58ed7da4dc73f3f7e,who,health,2026-02-09 19:33:57.795,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a36a58ed7da4dc73f3f7f,who,health,2026-02-09 19:33:57.796,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a36a58ed7da4dc73f3f80,who,health,2026-02-09 19:33:57.797,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a36a58ed7da4dc73f3f81,who,health,2026-02-09 19:33:57.798,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a36cbc460a8f52919faff,who,health,2026-02-09 19:34:35.154,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a36cbc460a8f52919fb00,who,health,2026-02-09 19:34:35.156,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a36cbc460a8f52919fb01,who,health,2026-02-09 19:34:35.157,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a36cbc460a8f52919fb02,who,health,2026-02-09 19:34:35.157,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a36cbc460a8f52919fb03,who,health,2026-02-09 19:34:35.157,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a976f8aa2943e12b16d24,who,health,2026-02-10 02:26:55.347,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a976f8aa2943e12b16d25,who,health,2026-02-10 02:26:55.348,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a976f8aa2943e12b16d26,who,health,2026-02-10 02:26:55.348,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a976f8aa2943e12b16d27,who,health,2026-02-10 02:26:55.348,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a976f8aa2943e12b16d28,who,health,2026-02-10 02:26:55.349,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a9ae1965a6a7ada102aa9,who,health,2026-02-10 02:41:37.160,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a9ae1965a6a7ada102aaa,who,health,2026-02-10 02:41:37.161,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a9ae1965a6a7ada102aab,who,health,2026-02-10 02:41:37.161,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a9ae1965a6a7ada102aac,who,health,2026-02-10 02:41:37.161,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698a9ae1965a6a7ada102aad,who,health,2026-02-10 02:41:37.162,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
698a9e4f8ed7da4dc73f411c,who,health,2026-02-10 02:56:15.156,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
698a9e4f8ed7da4dc73f411d,who,health,2026-02-10 02:56:15.158,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
698a9e4f8ed7da4dc73f411e,who,health,2026-02-10 02:56:15.159,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698a9e4f8ed7da4dc73f411f,who,health,2026-02-10 02:56:15.159,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
